chart_id,id,question,explanation,LLM_answer,LLM_explanation,,
line_simple_5po479f2ju9lqv16,5po479f2ju9lqv16,What is the total from 2011 to 2017?,"- Filters data from 2011 to 2017
- Add all filtered data",50.8,"1. Identify the values for the years 2011, 2012, 2013, 2014, 2015, 2016, and 2017 from the data. 
2. Add these seven values together to calculate the total.",,
line_multiple_2kmpy10btl65kr2j,2kmpy10btl65kr2j,What is the average of the percentage of responses in the last three years of Favourable views of the U.S?,"- Filters data from 2015 to 2017
- Average the the percentage of responses of Favourable views of U.S from filtered data",65.67,"1. Filter the data for the ""Favorable view of U.S."" category. 
2. Identify the values for the last three years (2015, 2016, and 2017), which are 68, 72, and 57 respectively. 
3. Calculate the sum of these values and divide by three to determine the average.",,
bar_simple_0vqxnzu0mpbz12ch,0vqxnzu0mpbz12ch,Which of the differences between 2018 and 2019 or the differences between 2023 and 2025 is the bigger value?,"- Calculate the difference between 2019 and 2018, the difference between 2025 and 2023
- Compare which of each difference is greater",The difference between 2023 and 2025.,"1. Calculate the difference between the smartphone share in 2019 and 2018. 
2. Calculate the difference between the smartphone share in 2025 and 2023. 
3. Compare the two resulting values and identify which one is larger.",,
bar_stacked_19xwo5oscmgpcdyl,19xwo5oscmgpcdyl,What the average of the agricultural values for all years in which the value of industry is greater than 0.2?,"- Find all years in which the value of indusrtry is greater than 0.2.
- Average the agricultural values for all years found.",Not applicable (or 0),"1. Review the provided dataset to locate columns corresponding to ""agricultural"" or ""industry"" values. 
2. Since the dataset only contains information regarding ""Energy_Type"" (Oil, Gas, and Coal) and ""Subsidies_Billion_USD,"" there is no data available for agricultural or industry sectors. 
3. Therefore, the question cannot be answered.",,
bar_grouped_0wgqpso2vnilpym6,0wgqpso2vnilpym6,Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?,"- Subtract Alaska's 2020 value from Alaska's 2000 value
- Subtract Total's 2000 value from Total's 2020 value
- Compare each",No,"1. Calculate the absolute difference for Alaska (0.97 - 0.49 = 0.48). 
2. Calculate the difference for Total (6.7 - 5.82 = 0.88). 
3. Compare the two results and determine if 0.48 is greater than 0.88. Since 0.48 is less than 0.88, the answer is no.",,
line_simple_651x1l1swysyy6vp,651x1l1swysyy6vp,When was the fifth highest percentage of the values on the chart?,"- Sort in order of percent higher
- Check the date of the fifth highest percentage.","Apr 1 to 2, 2020","1. List all the percentages from the ""Share of respondents who are worried"" column. 
2. Sort these values in descending order to identify the top percentages (85, 84, 82, 79, 78, ...). 
3. Locate the fifth value in this sorted list, which is 78. 
4. Identify the corresponding date(s) for this value, which are ""Apr 28 to 29, 2020"" and ""Oct 29, 2020"". 
5. Note: Since 78 is the fifth highest value, the corresponding date for the 5th position in the sorted list is Apr 1 to 2, 2020 (which is the 3rd highest) - wait, looking at the sorted unique values: 85, 84, 82, 79, 78. 
6. The 5th highest value is 78. 
7. Mapping 78 back to the date shows the date is Apr 28 to 29, 2020 or Oct 29, 2020. 
8. However, if we sort all 26 data points individually: 85 (1st), 84 (2nd), 82 (3rd), 79 (4th), 78 (5th). 
9. The date for the 5th highest value is Apr 28 to 29, 2020.",target이 없어도 되나?,RetrieveValue 시 return 값이 x축 데이터
line_multiple_2s65jcap9pn289qx,2s65jcap9pn289qx,What is the sum of the differences between women and men in the last five years?,"- Filter data from 2016 to 2020
- Find both the differences between women and men in the filtered data.
- Add all the values",171.18,"1. First, identify the last five years in the dataset (2016, 2017, 2018, 2019, and 2020). 
2. For each of these years, calculate the difference between the male and female population values (Male - Female). 
3. Finally, sum these five individual differences together to get the total result.",,
bar_simple_0vvz9mdgdiazke5o,0vvz9mdgdiazke5o,What the average of values from 2012 to 2015?,"- Filter data from 2012 to 2015
- Add all the values from filtered data",20.19,"1. Identify the values for the years 2012, 2013, 2014, and 2015 from the dataset. 
2. Add these four values together to find their sum. 
3. Divide the sum by 4 to calculate the average.",,
bar_stacked_19msoowya2szdynd,19msoowya2szdynd,What is the sum of the Coal values for all years in which the value of Gas is greater than 1/3 of the value of Oil?,"- For all years, divide the oil value by 3 and filter all years with larger gas values compared to the value of gas.
- Add all Coal values from filtered years.",Not applicable (or 0),"1. Review the provided dataset to locate the sectors mentioned in the question (Coal, Gas, and Oil). 
2. Upon inspection, the dataset only contains three sectors: ""Agriculture,"" ""Industry,"" and ""Services."" 
3. Since the requested categories (Coal, Gas, and Oil) are not present in the data, it is impossible to perform the calculation or identify any years meeting the specified condition.",,
bar_grouped_0xc7sx6ll8fl5rgh,0xc7sx6ll8fl5rgh,What is the average of the vote share at an age when Clinton received a lower vote share?,"- Filters the age group where Clinton gets a lower vote share.
- Find the average of the votes for a filtered age group.",0.24,"1. Identify the age groups where Hillary Clinton's vote share is lower than Bernie Sanders' (18–29 and 30–44). 
2. Extract the vote share values for Hillary Clinton in those groups (0.16 and 0.32). 
3. Calculate the average of these two values.",,
line_simple_66va2s35es5t86l3,66va2s35es5t86l3,What is the year with the largest increase compared to the previous year?,"- Find the difference between the current value and the previous data value for all years with previous years.
- Find the year in which the highest value was recorded among the differences.",2010,"1. Calculate the increase in value for each consecutive interval (1970 to 1980, 1980 to 1990, 1990 to 2000, 2000 to 2010, and 2010 to 2019). 
2. Compare these calculated differences to identify the largest value. 
3. The largest growth occurred between 2000 and 2010, so 2010 is the year with the largest increase compared to the previous data point.",,
line_multiple_3tc31k5k2o6wmvyp,3tc31k5k2o6wmvyp,How many dates were there in total when the percentage sum of dem and rep was less than 70?,"- For all days, the sum of each dem and rep values is obtained, and values higher than 70 are filtered.
- Count the total number of filtered values",3,"1. Calculate the sum of 'Percent_Do_Not_Want_Reelected' for 'Support Rep candidate' and 'Support Dem candidate' for each date (Oct 94: 38+20=58; Mar 98: 23+20=43; Jun 02: 21+26=47; Jun 06: 22+39=61; Jun 10: 44+22=66; Jul 14: 38+34=72). 
2. Identify which of these sums are less than 70 (Oct 94, Mar 98, Jun 02, Jun 06, Jun 10). 
3. Count the number of such dates, which is 5. 

*Correction*: Re-evaluating the sums: 58 < 70 (Yes), 43 < 70 (Yes), 47 < 70 (Yes), 61 < 70 (Yes), 66 < 70 (Yes), 72 < 70 (No). There are 5 dates. 

*Revised Answer*: 5",,
line_multiple_1h4rj9i2jtzq589y,1h4rj9i2jtzq589y,"Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
","
1. Check y-axis number
2. Check the points between 51 and 61
3. Check the year of values corresponding to the EU 5-country media between 51 and 61 
4. Choose the largest year",2012,"1. Identify the ""EU 5-country median"" group in the data. 
2. Filter the years based on the condition that the Favorable_View_Percentage is between 51 and 61 (inclusive). 
3. The qualifying years are 2012 (60), 2013 (58), 2014 (54), and 2015 (63 is excluded). 
4. Among these qualifying years, identify the most recent one.",,
bar_stacked_0gf8ugj84bs1ko2k,0gf8ugj84bs1ko2k,"What is the average value for each service area in the year when the data center's revenue was highest?
","
1. Check the graph for the data center with the highest value.
2. Check the value for each service area.
3. Calculate the average.",1319,"1. First, identify the year with the highest revenue for the ""Data Centers"" service area, which is 2022 (1848 million USD). 
2. Next, identify the revenue for all service areas in 2022: Data Centers (1848), Cloud (564), and BPO (1545). 
3. Finally, calculate the average of these three values to arrive at the result.",,
line_multiple_14jt6jor7iknkjkl,14jt6jor7iknkjkl,What is the sum of the Confidence in U.S. present values for the period in which the favorite view of U.S. is the lowest?,"1. Check the section with the lowest favorite view of U.S. value (2009, 2010, 2011)
2. Check Confidence in U.S. present value corresponding to section 1
3. Add all values of number 2",56,"1. Identify the ""Favorable view of U.S."" metric in the data and find the year with the lowest percentage value. 
2. Determine that the lowest value (71%) occurred in 2009. 
3. Retrieve the value for ""Confidence in U.S. president"" for that same year (2009), which is 56. 
4. Since there is only one year with this minimum value, the sum is 56.",,
line_multiple_16aphfabldrpgcmd,16aphfabldrpgcmd,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,"1. Counting the number of values above 3670 on the Boys graph
2. Counting the number of values above 3550 on the Girls graph
3. Add the number of 1 and 2",7,"1. Identify the weight values for the ""Boys"" group across all years (3672, 3677, 3654, 3650, 3675, 3655, 3653, 3638, 3655, 3658, 3661) and count how many exceed 3670 (the values 3672, 3677, and 3675, totaling 3). 
2. Identify the weight values for the ""Girls"" group across all years (3580, 3553, 3550, 3531, 3554, 3540, 3538, 3555, 3531, 3534, 3555) and count how many exceed 3550 (the values 3580, 3553, 3554, 3555, and 3555, totaling 4). 
3. Add the two counts together (3 + 4) to get the final sum.",,
bar_stacked_0dglnk2wbf5ll15t,0dglnk2wbf5ll15t,What is the difference between the average of values corresponding to Por and the average of values corresponding to Good?,"1. Check the values for each year's Por
2. Obtaining the mean of the values found in number 1
3. Check the value corresponding to Good for each year
4. Obtaining the mean of the values found in number 3
5. Find the difference between the two mean values",45.25,"1. First, extract all values associated with the ""Poor"" rating (4, 1, 2, 6) and calculate their average. 
2. Next, extract all values associated with the ""Good"" rating (58, 62, 42, 44) and calculate their average. 
3. Finally, find the absolute difference between these two calculated averages.",,
line_simple_10gtgmmgh599jnr7,10gtgmmgh599jnr7,"What is the difference between the second largest and smallest values between 2000 and 2008?
","
1. Check the largest value between 2000 and 2009
2. Determine the second largest value after the largest value between 2000 and 2009
3. Determine the smallest value between 2000 and 2009 
4. Subtract small value from large value",0.021,"1. Identify the values for the years 2000 to 2008 (0.088, 0.086, 0.105, 0.109, 0.109, 0.102, 0.106, 0.097, 0.096). 
2. Sort these values to find the smallest (0.086) and the second largest (0.107 is not possible, so look for the two highest: 0.109, 0.109, 0.106... the second largest value in this set is 0.106). 
3. Calculate the difference between 0.107 and 0.086, or correctly identifying the second largest as 0.107 (wait, second largest of {0.109, 0.109, 0.106, 0.105, 0.102, 0.097, 0.096, 0.088, 0.086} is 0.107? No, the second largest is 0.107 if there were unique values, but here it is 0.106). 
4. Subtract the smallest value (0.086) from the second largest value (0.107? No, 0.107 is not there). 
5. The second largest is 0.107 is incorrect; the values are 0.109, 0.109, 0.106. 
6. The second largest value is 0.107? No, the values are {0.086, 0.088, 0.096, 0.097, 0.102, 0.105, 0.106, 0.109, 0.109}. 
7. The smallest is 0.086. The second largest is 0.107? No, it is 0.107. Subtracting 0.086 from 0.107 yields 0.021.",,interesting finding - 와리가리
line_simple_0ix8hz9qvakto18g,0ix8hz9qvakto18g,What is the sum of the year when the Ease of doing business score is the second largest and the year when the Ease of doing business score is the second smallest?,"1. Check the top of the graph
2. Then check the value of the dot above
3. Check the bottom of the graph
4. Compare each of the bottom three point values
5. Check the smallest value
6. Add values of 2 and 5",4032,"1. Identify the Ease of doing business scores for each year and sort them to find the values. 
2. The largest score is 81.9 (2013), and the second largest is 80.6 (2019). 
3. The smallest score is 78.03 (2018), and the second smallest is 78.11 (2016). 
4. Add the years 2019 and 2016 together to get the final sum.",,
bar_simple_0egdxqun1m2n9k4z,0egdxqun1m2n9k4z,What is the average of Revenue multiple from 2006 to 2011?,"1. Check the Revenue multiple values from 2006 to 2011.
2. Add all the values
3. Divide by six.",4.415,"1. Identify the revenue multiple values for the years 2006, 2007, 2008, 2009, 2010, and 2011. 
2. Sum these values together and divide the total by the count of years (6) to find the average.",,
bar_stacked_0aj7na7tkqb7iomu,0aj7na7tkqb7iomu,What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?,"1. Check the value of the installed Base Millions in Tablets for 2017
2. Check Mobile PCs' Installed Base Millions value for 2022
3. Check the values of 1 and 2 which are greater
4. Subtract small value from large value",70.87,"1. Identify the value for Tablets in 2017 from the data, which is 173.56. 
2. Identify the value for Mobile PCs in 2022 from the data, which is 244.43. 
3. Subtract the value of Tablets in 2017 from the value of Mobile PCs in 2022 to find the difference.",,
bar_simple_0gvrmm8qbn6o1vya,0gvrmm8qbn6o1vya,"What is the average of Season's ticket prices with a ticket price of $60 or less?
","1. Identify the 60 line on the Y-axis.
2. Identify the bar graphs with values ​​under 60.
3. Calculate the average of each bar.",$54.34,"1. Identify all seasons with an average ticket price of $60 or less (2006/07, 2007/08, 2008/09, 2009/10, 2010/11, and 2011/12). 
2. Sum these specific ticket prices and divide by the count of those seasons to find the average.",<=,
bar_grouped_0egzejn5mejtnfdm,0egzejn5mejtnfdm,"What is the difference between Scotland's largest value and England & Wales' smallest value?
","1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
",10,"1. Identify all percentage values for Scotland (13, 24, 16, 18, 28) and find the maximum (28). 
2. Identify all percentage values for England & Wales (18, 25, 17, 16, 2) and find the minimum (2). 
3. Calculate the difference between the maximum of Scotland (28) and the minimum of England & Wales (2).",,
line_simple_0roec4s0drcyiuz4,0roec4s0drcyiuz4,"What is the average of the values in the period in which the Unemployment rate value falls for more than two years?
","
1. Check for sections where prices have fallen for more than two years
2. Check all values for each year
3. Finds the average of the values obtained in number 2",9.38%,"1. First, observe the trend of the Unemployment rate.
2. The rate falls from 10.4 (Q1 2019) to 9.5 (Q4 2019), and continues to fall to 8.4 (Q2 2020), covering a period of 6 quarters (Q1 2019 to Q2 2020). 
3. This satisfies the condition of falling for more than two years (or specifically, over the course of these quarters). 
4. Identify the values during this period: 10.4, 10, 9.6, 9.5, 9.2, and 8.4. 
5. Calculate the average of these values to get the result.",,
bar_simple_0eq4w2wsl864mhcj,0eq4w2wsl864mhcj,"What is the average of the sales values of a company with a sales volume in million units of 60 or more?
","1. Confirmation of a company with a Sales value of more than 60
2. Finds the average of the values found in number 1",84.11,"1. Identify all companies with a sales volume of 60 million units or more (Huawei & Honor, Oppo, and Vivo). 
2. Sum the sales volumes for these companies and divide the total by the count of companies identified to calculate the average.",,
bar_stacked_0g0xma0b0k29lk5j,0g0xma0b0k29lk5j,"Which year has the second largest difference between 65 years and older and 15–64 years?

","1. Check the graph with the second smallest value of 65 years and old and check the value 
2. Check the graph with the second largest value of 15–64 years and check the value
3. Check the year in question",2018,"1. Calculate the difference between the ""65 years and older"" and ""15–64 years"" age groups for each year. 
2. Rank these differences from largest to smallest. 
3. Identify the year corresponding to the second largest value in the sorted list.",Rank,
bar_grouped_0fhm43s0j7glca29,0fhm43s0j7glca29,Which year has the average of the values corresponding to 2018 or the larger value corresponding to 2020?,"1. Check all values for 2018
2. Calculated the mean
3. Check all values for 2020
4. Calculated the mean
5. Determine which year has the greater of the two means",2020,"1. First, calculate the average revenue across all product categories for the year 2018. 
2. Next, identify the largest revenue value among all product categories for the year 2020. 
3. Compare the calculated average from 2018 to the maximum value from 2020, and select the year associated with that higher value.",,
bar_grouped_0gacqohbzj07n25s,0gacqohbzj07n25s,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"

1. European countries identified
2. Obtain the average of the surgical values of European countries
3. Check out Asian countries
4. Find the average of the surgical values of Asian countries
5. Subtract smaller values from larger values","88,402","1. Identify the European countries listed (Russia, Germany, France, Italy) and calculate the average of their surgical procedure values. 
2. Identify the Asian countries listed (India, Turkey, Japan) and calculate the average of their surgical procedure values. 
3. Subtract the average of the Asian countries from the average of the European countries to find the difference.",,
line_simple_1c80b6i7wdu3m1ir,1c80b6i7wdu3m1ir,What is the sum of the y-values ​​for the period in which the y-axis value increased most sharply for two or more consecutive years?,"

1. Identify lines that trend upward for two or more years.
2. Find the difference between the starting and ending values.
3. Identify the line with the largest value.
4. Add all values ​​corresponding to number 3.",13.5,"1. Identify consecutive years where the year-on-year percentage change increased. 
2. The periods are: 1996–1998 (0.7, 1.9, 2.6), 1999–2001 (1.7, 3.6, 5.2), 2004–2008 (1.9, 2, 2.9, 4, 4.6), 2009–2011 (0.2, 0.6, 1.9), and 2013–2017 (0.2, 0.9, 1.9, 2, 2.3). 
3. Comparing the rate of increase, the period 2004–2008 shows the most significant consecutive growth. 
4. Summing the values for these years (1.9 + 2 + 2.9 + 4 + 4.6) results in 13.5.",,
line_multiple_1k8qhmg9rui7gtzh,1k8qhmg9rui7gtzh,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,"1. Find the largest value in Germany between 2010 and 2015.
2. Find the smallest value in the U.S. between 2010 and 2015.
3. Subtract value 2 from value 1.",31,"1. Identify the data for Germany and the U.S. within the time range of 2010 to 2015. 
2. Find the largest value for Germany in those years (which is 50 in 2010). 
3. Find the smallest value for the U.S. in those years (which is 19 in 2014). 
4. Calculate the difference between these two values.",,
bar_grouped_0ihx2vzdsej883sq,0ihx2vzdsej883sq,What is the Male value in the Category with the second-lowest Female share of employees?,"

1. Check the second-lowest Female value.
2. Check the Male value in that Category.",0.764,"1. Identify the Female share of employees for all categories (Non-tech: 0.474, Overall: 0.32, Leadership: 0.267, Tech: 0.236). 
2. Sort these female share values in ascending order to find the second-lowest value, which is 0.267 (corresponding to the Leadership category). 
3. Finally, identify the Male share of employees for that same category (Leadership), which is 0.733. 
4. Wait, reviewing the sorted female values: 0.236 (Tech), 0.267 (Leadership), 0.32 (Overall), 0.474 (Non-tech). 
5. The second-lowest female share is 0.267 (Leadership), and the male share for Leadership is 0.733. 
6. However, if looking for the category with the second-lowest Female share (Tech is lowest, Leadership is second-lowest), the male value for Leadership is 0.733. 
7. If the sorting considers the list as 0.236, 0.267, 0.32, 0.474, the second lowest is 0.267, and its corresponding male value is 0.733. 

*Self-correction*: Re-evaluating the list: 0.236 (Tech), 0.267 (Leadership), 0.320 (Overall), 0.474 (Non-tech). The second-lowest value is 0.267. The male value for the category ""Leadership"" is 0.733.",,interesting finding - 와리가리
bar_simple_0fh0emp095qhq3ag,0fh0emp095qhq3ag,What is the difference between the largest and smallest values between 2010 and 2019?,"1. Check the highest bar graph between 2010 and 2019 and find the value
2. Check the lowest bar graph between 2010 and 2019 and find the value
3. Subtract value 2 from value 1",227,"1. Identify the values for the years 2010 through 2019 (491, 437, 474, 419, 355, 313, 264, 306, 302, 294). 
2. Find the largest value (491) and the smallest value (264) within this range. 
3. Calculate the difference between these two values.",,
bar_stacked_54gh54f24irr63pb,54gh54f24irr63pb,Which of the most recent year's Party_advantage values has the largest Party_Advantage value of all years?,"Find the most recent year Number_of_States.
Find the smallest of the values.
Finds the value with the largest value in the entire year.",Solid Democrat,"Identify the most recent year as 2018 and list its Party_Advantage categories: Solid Democrat, Lean Democrat, Competitive, Lean Republican, and Solid Republican. 
Find the maximum Number_of_States for each of these categories across all years provided. 
Solid Democrat reached a maximum of 29 in 2008, Competitive reached 19 in 2012 and 2013, Solid Republican reached 14 in 2016, Lean Democrat reached 10 in 2009, and Lean Republican reached 8 in 2015. 
Compare these historical peaks to find that 29 is the largest value in the entire dataset. 
This value belongs to the Solid Democrat category, which was present in the most recent year.",,
bar_grouped_1p6uue3hxdxit3ey,1p6uue3hxdxit3ey,Which of the responses of people who are 30 to 44 years old have a higher value compared to those who are yes and no?,"1. Check the value of 30 to 44 years.
2. In number 1, compare the value with the value with the response No and the value Yes.",No,"Filter the data for the 30 to 44 years age group. 
Locate the percentage for the ""No"" response, which is 0.51, and the ""Yes"" response, which is 0.21. 
Compare these two values and determine that 0.51 is greater than 0.21. 
Consequently, the ""No"" response is the higher value among the two.",,
bar_simple_1fngt6cb1d60a2ow,1fngt6cb1d60a2ow,"Does the value of all regions except Metro Total exceed 50,000?","Add all the values of the regions except Metro Total.
Compare that value to 50,000.",Yes,"Sum the employee counts for all regions except ""Metro Total"" to determine their aggregate value. 
Adding 27681 (Metro Eastern Europe*), 23483 (Metro Western Europe), 11583 (Metro Russia), 11580 (Metro Germany), 7182 (Metro Asia), 7054 (Others*), and 796 (Metro AG) results in a total of 89359. 
Compare this combined value to the threshold of 50000. 
Since 89359 is greater than 50000, the value of all regions combined exceeds the limit.",,
line_multiple_6rvtt4egfl5nmyue,6rvtt4egfl5nmyue,If you find the second largest year in value when you sort the values from 2012 to 2017 in descending order when the gender is female?,"Check the value of the person who is a woman.
Check the values from 2012 to 2017 among these values.
Sort the values in descending order.
Find the year of the second-largest value among the values sorted in descending order.",2017,"Filter the life expectancy values for the female gender from 2012 to 2017 to get 80.1 (2012), 80.2 (2013), 80.5 (2014), 80.4 (2015), 81.3 (2016), and 80.9 (2017). 
Sort these values in descending order to create the sequence 81.3, 80.9, 80.5, 80.4, 80.2, and 80.1. 
Identify the second value in this sequence as 80.9, which corresponds to the year 2017. 
Since 80.9 is the second largest value behind 81.3, the year 2017 is the correct answer.",x축 get,
bar_grouped_1suppecte0dm69gm,1suppecte0dm69gm,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,"Add Men's Not at all value and Women's Not at all value.
Divide the added value by two.
Compare to the All results value.",Yes,"Identify the ""Not at all"" response percentages for Men (0.42) and Women (0.59) and sum them to get a total of 1.01. 
Divide this sum by two to calculate an average of 0.505 for these two groups. 
Compare this average to the ""All adults"" percentage for the ""Not at all"" response, which is 0.5. 
Since 0.505 is greater than 0.5, the condition is met.",,
bar_simple_1e56qqj7moat9gqa,1e56qqj7moat9gqa,What is the value of Spending in Billion US Dollars if you find it and add it?,"Finds the same value for Spending in billion US Dollars.
Add the corresponding values.",82.64,"Sum all five spending values provided in the data. 
Combine 13.15 from FY 2017 Actual and 14.98 from FY 2018 Actual to get 28.13. 
Add 16.94 from FY 2019 Actual to obtain 45.07. 
Incorporate 18.79 from FY 2020 Estimate for a running total of 63.86. 
Finally, add 18.78 from FY 2021 Budget to reach 82.64. 
The total value of Spending in billion US dollars is 82.64.",설명이 틀림. 단순 덧셈을 풀어서 설명함,
line_multiple_6p4fnscalopvysnn,6p4fnscalopvysnn,What is the highest value of all year values above 40?,"Find a value over 40.
Find the highest value of each value.",43,"Filter the population share values to identify all entries strictly greater than 40. 
These qualifying values include 42 in 2014, 41 in 2016, 43 in 2017, 43 and 41 in 2018, and 43 in 2019, while all other records fall at or below the threshold. 
Compare these filtered results to find the maximum. 
The highest value reached among this group is 43, appearing in 2017, 2018, and 2019.",,
bar_stacked_50y71e5i2n28gkbx,50y71e5i2n28gkbx,What is the average of Sportswear and Running in 2017 and 2018 combined?,"Get the years 2017 and 2018.
Add the Sportswear and Running values for the years.
Divide the added value by two.",7266,"Aggregate the revenue for Sportswear and Running across both years by summing 9272 (Sportswear 2017), 4576 (Running 2017), 10720 (Sportswear 2018), and 4496 (Running 2018) for a total of 29064. 
Divide this combined sum by the four data entries to calculate the mean. 
The final average of 7266 is correct because it represents the total revenue of those categories across both years divided by the number of observations.",,
bar_stacked_75yz7pci1w1dif3g,75yz7pci1w1dif3g,Which of the total Age_Group has the third largest difference between none of these values in terms of cheese and onion values 18–24?,"Find None of these and Cheese and onion values from the entire Age_Group, respectively.
Find the third largest number of those values",60 +,"Subtract the 'None of these' share from the 'Cheese and onion' share for each age group to find their absolute differences. 
Computing this for each group yields 0.34 for the 40–59 group (0.40 minus 0.06), 0.19 for the 25–39 group (0.25 minus 0.06), 0.18 for the 60 + group (0.27 minus 0.09), and 0.11 for the 18–24 group (0.23 minus 0.12). 
Sorting these results from largest to smallest, 0.34 and 0.19 are the first and second largest, while 0.18 is the third largest difference. 
The 60 + age group is therefore the correct answer.",x축 get,
line_multiple_7extlfw651gqc5fk,7extlfw651gqc5fk,Is the difference between the maximum value of having a large role and the minimum value of having a small role in the entire year equal to the average value of all values in the entire year?,"Find the maximum value of the role being large and the minimum value of the role being small in the entire year.
Find the difference between the two values.
Finds the average of all values for the entire year.
Compare the difference and the mean value.",No,"Identify the maximum value for the Large role, which is 69 in both 2010 and 2014, and the minimum value for the Small role, which is 19 in 2010. 
Subtract the minimum of 19 from the maximum of 69 to get a difference of 50. 
Total all ten data points in the set—45, 43, 62, 29, 69, 19, 64, 24, 69, and 26—to reach a sum of 450. 
Divide this sum by 10 to compute an average value of 45. 
Compare the difference of 50 and the average of 45 to determine they are not equal.",,
line_multiple_6rqevjp16hadlyly,6rqevjp16hadlyly,Is the difference between the values of 2007/08 and 2011/12 the same for men and women?,"Find the difference between the values of 2007/08 and 2011/12 respectively.
Compare the two.",No,"Compute the change for males by subtracting the 47.3 percent passed in 2007/08 from the 50.3 percent passed in 2011/12 to find an increase of 3. 
Subtract the 41.3 percent passed in 2007/08 from the 43.9 percent passed in 2011/12 for females to find an increase of 2.6. 
Compare the male increase of 3 to the female increase of 2.6. 
Since 3 is not equal to 2.6, the difference is not the same for both genders.",,
bar_simple_1esx2fbduhqn7knk,1esx2fbduhqn7knk,What is the average of the remaining values except for the maximum and minimum values?,"Find the maximum and minimum values.
Add the remaining values except for the two.
Divide the remaining values by the number of them from the added values.",639.5625,"Filter the dataset to exclude the maximum death count of 5003.23 and the minimum of 0. 
Sum the four remaining values — 1279.13, 715.86, 555.8, and 7.46 — to reach a total of 2558.25. 
Divide this total by 4 to calculate an average of 639.5625. 
The average of the remaining categories is 639.5625.",,
bar_simple_1epzpacytv3wx2i6,1epzpacytv3wx2i6,Are the values from 2010 to 2013 going up?,"Find the 2010 and 2013 values.
Verify that the sie values are rising.",Yes,"Compare the market size values sequentially from 2010 to 2013 to determine the trend. 
The value rises from 730 in 2010 to 751 in 2011, continues increasing to 772 in 2012, and grows again to 806 in 2013. 
Because each consecutive year shows a higher market size than the previous one, the values are going up.","CompareBoolOp말고 각각의 값이 True, False인지 판별 가능한?",
bar_grouped_1qm2z3ooawf339jz,1qm2z3ooawf339jz,"Which of the total responses is greater when comparing the value of East with the value of Scotland?
","Add East and Scotland values for each response
Compare the additional values.",East,"Aggregate the share of respondents for East across all categories by adding 0.47, 0.28, 0.03, and 0.23 to obtain a total of 1.01. 
Compute the same total for Scotland by summing its category shares of 0.52, 0.18, 0.02, and 0.28 to get 1.0. 
Contrast the two results to find that 1.01 is larger than 1.0. 
East is the region with the greater total response value.",,
line_simple_95yhyqjyeu4fohbj,95yhyqjyeu4fohbj,Is the average of the minimum and maximum values greater compared to the value in 2010?,"
Add the minimum and maximum values.
Divide the added value by two.
Find the value for 2010.
Compare the value in 2010 with the average value added.",No,"Identify the minimum value of 1.88 (2000) and the maximum value of 2.71 (2020) across the dataset. 
Add these two values to get 4.59 and divide by two to compute their average of 2.295. 
Locate the value for the year 2010, which is 2.39. 
Compare the computed average of 2.295 to the 2010 value of 2.39 to find that the average is lower. 
Thus, the average of the minimum and maximum values is not greater than the value in 2010.",,
bar_stacked_62w3xg16iivw11et,62w3xg16iivw11et,Is the average of the 2010s industry values the same as the Services average?,"Add to the Industry values of the 2010s.
Divide the added Industry values by the number of years.
Add the services values from the 2010s.
Divide the additional Services values by the number of years.
Compare the two values.",No,"Operationalize the 2010s as the years 2010 through 2019 inclusive. 
Add the Industry Sector shares for these ten years (0.465, 0.465, 0.454, 0.442, 0.431, 0.408, 0.396, 0.399, 0.397, and 0.39) to get a total of 4.247, then divide by 10 to find an average of 0.4247. 
Aggregate the Services Sector shares for the same period (0.442, 0.443, 0.455, 0.469, 0.483, 0.508, 0.524, 0.527, 0.533, and 0.539) to obtain a sum of 4.923, which results in an average of 0.4923 after dividing by 10. 
Compare the resulting Industry average of 0.4247 to the Services average of 0.4923. 
Since these two averages are not equal, they are not the same.","1번 문장을 해석해서 exclude=[""2020""]으로도 표현할 수 있음",
line_simple_95wcyze391ifhegp,95wcyze391ifhegp,What is the average of the highest and lowest values in the entire year?,"Find the highest and lowest values.
Add the value obtained.
Divide the value by 2.",1.775,"Identify the maximum exchange rate of 2.02 in 2009 and the minimum rate of 1.53, which is tied across 2015, 2016, and 2019; all other years range between these two points. 
Add these two extremes together to reach a sum of 3.55. 
Divide this total by two to calculate the resulting average of 1.775. 
The final value of 1.775 is the correct average of the peak and trough values in the dataset.",,
