chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
14jud3ymyoonba4e,stackedBar,pending,Which sector accounted for the largest portion of this chart as a whole?,"1. Add up the revenues for each sector across all years to get each sector_ total contribution to the stacked bars overall. 
2. Comparing these totals shows Global Nutritionals has the highest cumulative revenue (it is the largest segment in most years and sums to the biggest total), so it accounts for the largest portion of the chart as a whole.","{""ops"":[{""op"":""sum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Sector""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:48:49Z
0vw6ydim9cff8ji6,groupedBar,pending,What year did construction record the highest percentage?,"1. Look at the rows where the Industry Sector is Construction and compare the Share of SMEs values across the periods (Q2 2014 to Q2 2019). 
2. The largest value is 0.22, which occurs in Q2 2019, so that is the year/period with the highest percentage.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Industry Sector"",""operator"":""=="",""value"":""Construction""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share of SMEs"",""which"":""max""}]}",,2026-05-22T14:48:47Z
5lhrulhnl0io2r81,simpleLine,pending,How many months were the month when the producer price index was lower than 210 in total?,"1. Review each month_ Producer Price Index value and count those strictly below 210. 
2. From May 20 through Jan 21, all values (201.8, 202.2, 203.3, 203.3, 203.3, 204, 203.8, 204.4, 207.6) are below 210, while Feb 21 is exactly 210 and the remaining months are above it. 
3. That gives a total of 9 months below 210.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Producer Price Index"",""operator"":""<"",""value"":210}],""ops2"":[{""op"":""count"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2}}]}",,2026-05-22T16:00:06Z
2hjkdo5w242alvjd,multipleLine,pending,Was the period from 2006 to 2011 longer than the period when people were more likely to be satisfied than the period when they were dissatisfied?,"1. The period from 2006 to 2011 spans 6 years (2006, 2007, 2008, 2009, 2010, 2011). 
2. Then compare years where _atisfied is higher than _issatisfied versus the opposite. 
3. _atisfied is higher only in 2006 and 2011 (2 years), while _issatisfied is higher in 2007, 2008, 2009, and 2010 (4 years). 
4. Since 6 years is not longer than the combined 2+4=6 years, the 20062011 period is not longer.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2006"",""2007"",""2008"",""2009"",""2010"",""2011""]},{""op"":""count"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1}}],""ops2"":[{""op"":""pairDiff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""groupA"":""Satisfied"",""groupB"":""Dissatisfied"",""field"":""Percentage"",""signed"":true}],""ops3"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":3},""operator"":"">"",""value"":0},{""op"":""count"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3}},{""op"":""filter"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n3""],""sentenceIndex"":3},""operator"":""<"",""value"":0},{""op"":""count"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n6""],""sentenceIndex"":3}},{""op"":""add"",""id"":""n8"",""meta"":{""nodeId"":""n8"",""inputs"":[""n5"",""n7""],""sentenceIndex"":3},""targetA"":""ref:n5"",""targetB"":""ref:n7""}],""ops4"":[{""op"":""compareBool"",""id"":""n9"",""meta"":{""nodeId"":""n9"",""inputs"":[""n2"",""n8""],""sentenceIndex"":4},""operator"":"">"",""targetA"":""ref:n2"",""targetB"":""ref:n8""}]}",,2026-05-22T14:49:28Z
0vmvmj77j3p6vcy7,simpleBar,pending,What is the net income sum from 2010 to 2015?,"1. Take the net income values for each year from 2010 through 2015 (2010: 2901, 2011: 2804, 2012: 2592, 2013: 3075, 2014: 12101, 2015: 18108) and add them together to get the total sum.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2010"",""2011"",""2012"",""2013"",""2014"",""2015""]}],""ops2"":[{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Net income in million US dollars""}]}",,2026-05-22T14:48:51Z
174uq759pluu079w,stackedBar,pending,What is the sum of Sony's rankings for 2017 and 2018?,"1. Rank manufacturers within each year by their shipments (highest shipment = rank 1). 
2. In 2017, Sony has the highest shipments (1.7), so its rank is 1. 
3. In 2018, Sony again has the highest shipments (2.0), so its rank is 1. 
4. Adding these ranks gives 1 + 1 = 2.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""=="",""value"":""2017""},{""op"":""sort"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Shipments"",""order"":""desc""},{""op"":""nth"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":1},""n"":1,""from"":""left""}],""ops2"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":""=="",""value"":""2018""},{""op"":""sort"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""field"":""Shipments"",""order"":""desc""},{""op"":""nth"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":2},""n"":1,""from"":""left""}],""ops3"":[{""op"":""add"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n6""}]}",,2026-05-22T14:49:28Z
0w5jptak9peti0mj,groupedBar,pending,How many years in total did APAC have the lowest annual revenue?,"1. For each year from 2015 to 2020, compare the annual revenues of Americas, EMEA, and APAC. 
2. In every year listed, APAC_ revenue is lower than both Americas and EMEA. 
3. Counting these years gives a total of 6 years where APAC had the lowest annual revenue.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Region"",""operator"":""=="",""value"":""APAC""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Revenue"",""which"":""min"",""group"":""Year""}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T16:01:19Z
5po479f2ju9lqv16,simpleLine,pending,What is the total from 2011 to 2017?,"1. Take the values for the years 2011 through 2017 (7.00, 7.09, 7.17, 7.25, 7.34, 7.42, 7.51). 
2. Add these seven yearly values together to get a total of 51.78 billion.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017""]}],""ops2"":[{""op"":""sum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Number of devices in billions""}]}",,2026-05-22T14:48:53Z
2kmpy10btl65kr2j,multipleLine,pending,What is the average of the percentage of responses in the last three years of Favourable views of the U.S?,"1. Identify the last three years in the data (2015, 2016, 2017). 
2. Take the _avorable view of U.S. percentages for those years (68, 72, 57). 
3. Compute their mean by summing them and dividing by three, which gives 65.67%.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2015"",""2016"",""2017""]}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Percentage of respondents""}]}",,2026-05-22T16:00:04Z
0vqxnzu0mpbz12ch,simpleBar,pending,Which of the differences between 2018 and 2019 or the differences between 2023 and 2025 is the bigger value?,"1. Read the smartphone-share values for 2018 (0.5031) and 2019 (0.5756) and compute their increase (0.0725). 
2. Then read the values for 2023 (0.7414) and 2025 (0.7706) and compute their increase (0.0292). 
3. Compare the two increases; 0.0725 is larger than 0.0292, so the 20182019 difference is bigger.","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2018"",""field"":""Year""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2019"",""field"":""Year""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":1},""targetA"":""ref:n2"",""targetB"":""ref:n1"",""signed"":true}],""ops2"":[{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""target"":""2023"",""field"":""Year""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""target"":""2025"",""field"":""Year""},{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4"",""n5""],""sentenceIndex"":2},""targetA"":""ref:n5"",""targetB"":""ref:n4"",""signed"":true}],""ops3"":[{""op"":""compareBool"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n3"",""targetB"":""ref:n6""}]}",,2026-05-22T14:49:05Z
19xwo5oscmgpcdyl,stackedBar,pending,What the average of the agricultural values for all years in which the value of industry is greater than 0.2?,"1. The chart data only contains energy subsidies for Oil, Gas, and Coal by year. 
2. It does not include any fields for _gricultural or _ndustry, nor any values on a 0.2 scale. 
3. Because those variables are not present in the provided dataset, there are no years where we can verify _ndustry > 0.2, so the requested average of _gricultural values cannot be computed from this data.",,,2026-05-22T15:00:14Z
0wgqpso2vnilpym6,groupedBar,pending,Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?,"1. Read Alaska_ production in 2000 (0.97) and 2020 (0.49) and take the difference, which is 0.48 million barrels per day. 
2. Then read Total_ production in 2000 (5.82) and 2020 (6.7) and compute the change, which is 0.88 million barrels per day. 
3. Compare 0.48 to 0.88; Alaska_ difference is smaller, so it is not greater.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Region"",""operator"":""=="",""value"":""Alaska""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""target"":""2000"",""field"":""Year""},{""op"":""retrieveValue"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":1},""target"":""2020"",""field"":""Year""},{""op"":""diff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":1},""targetA"":""ref:n2"",""targetB"":""ref:n3"",""absolute"":true}],""ops2"":[{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""field"":""Region"",""operator"":""=="",""value"":""Total""},{""op"":""retrieveValue"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":2},""target"":""2000"",""field"":""Year""},{""op"":""retrieveValue"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n5""],""sentenceIndex"":2},""target"":""2020"",""field"":""Year""},{""op"":""diff"",""id"":""n8"",""meta"":{""nodeId"":""n8"",""inputs"":[""n6"",""n7""],""sentenceIndex"":2},""targetA"":""ref:n7"",""targetB"":""ref:n6"",""absolute"":true}],""ops3"":[{""op"":""compareBool"",""id"":""n9"",""meta"":{""nodeId"":""n9"",""inputs"":[""n4"",""n8""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n4"",""targetB"":""ref:n8""}]}",,2026-05-22T15:47:59Z
651x1l1swysyy6vp,simpleLine,pending,When was the fifth highest percentage of the values on the chart?,"1. List all the percentages and rank them from highest to lowest. 
2. The top values are 85 (Mar 24 to 25, 2020), 84 (Mar 19 to 20, 2020), 82 (Apr 1 to 2, 2020), 79 (Mar 26 to 27, 2020), and 78 (appearing twice: Apr 28 to 29, 2020 and Oct 29, 2020). 
3. Since 79 is the fourth highest, the next value (78) is the fifth highest, and the first time it occurs is Apr 1 to 2, 2020.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Percentage"",""order"":""desc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":5,""from"":""left""}]}",,2026-05-22T14:50:07Z
2s65jcap9pn289qx,multipleLine,pending,What is the sum of the differences between women and men in the last five years?,"1. Take the last five years in the data (20162020). 
2. For each of those years, compute the difference as (women  men): 2016: 674.56708.15, 2017: 678.71711.37, 2018: 681.87713.51, 2019: 684.78715.27, 2020: 688.44723.34. 
3. Then add these five yearly differences together to get a total of -150.40 million (negative because men are higher each year).","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2016"",""2017"",""2018"",""2019"",""2020""]}],""ops2"":[{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""groupA"":""Women"",""groupB"":""Men"",""field"":""Number in millions"",""signed"":true}],""ops3"":[{""op"":""sum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T16:01:06Z
0vvz9mdgdiazke5o,simpleBar,pending,What the average of values from 2012 to 2015?,"1. Take the gross payment volume values for the years 20122015 (6.52, 14.82, 23.78, 35.64). 
2. Add these four numbers together and divide by 4 to get the average, which is 20.19 billion USD.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2012"",""2013"",""2014"",""2015""]}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Gross payment volume in billion USD""}]}",,2026-05-22T15:01:08Z
19msoowya2szdynd,stackedBar,pending,What is the sum of the Coal values for all years in which the value of Gas is greater than 1/3 of the value of Oil?,"1. The provided data only contains three sectors (Agriculture, Industry, Services) with their shares of GDP by year. 
2. There are no entries for Coal, Gas, or Oil in any year. 
3. Since there are no years where _as and _il values can be compared, there are also no _oal values to sum under the stated condition, so the sum is 0.",,,2026-05-22T16:00:32Z
0xc7sx6ll8fl5rgh,groupedBar,pending,What is the average of the vote share at an age when Clinton received a lower vote share?,"1. Identify the age groups where Clinton_ vote share is lower than Sanders_: 1829 (0.16 vs 0.83), 3044 (0.32 vs 0.66), and 4564 (0.45 vs 0.54). 
2. Take Clinton_ vote shares in those groups (0.16, 0.32, 0.45) and compute their average, which is approximately 0.46.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Clinton"",""groupB"":""Sanders"",""field"":""Vote share"",""signed"":true},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""operator"":""<"",""value"":0}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""field"":""Candidate"",""operator"":""=="",""value"":""Clinton""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Vote share""}]}",,2026-05-22T15:47:59Z
66va2s35es5t86l3,simpleLine,pending,What is the year with the largest increase compared to the previous year?,"1. Compute the increase in _n millions between each pair of consecutive years shown. 
2. The increases are: 19701980 (+4.9), 19801990 (+8.1), 19902000 (+13.1), 20002010 (+15.0), and 20102019 (+9.9). 
3. The largest increase is from 2000 to 2010, so the year with the largest increase compared to the previous data point is 2010.","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""orderField"":""Year"",""order"":""asc"",""absolute"":false}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T16:01:43Z
3tc31k5k2o6wmvyp,multipleLine,pending,How many dates were there in total when the percentage sum of dem and rep was less than 70?,"1. For each date, add the _ercent_Do_Not_Want_Reelected values for the Support Rep candidate and Support Dem candidate. 
2. The sums are: Oct 94 = 38+20=58, Mar 98 = 23+20=43, Jun 02 = 21+26=47, Jun 06 = 22+39=61, Jun 10 = 44+22=66, Jul 14 = 38+34=72. 
3. Count the dates where this sum is less than 70: Oct 94, Mar 98, Jun 02, Jun 06, and Jun 10, which makes 5 dates.","{""ops"":[{""op"":""add"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""targetA"":""Support Dem candidate"",""targetB"":""Support Rep candidate"",""field"":""Percent_Do_Not_Want_Reelected"",""group"":""Date""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":""<"",""value"":70}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T16:02:49Z
1h4rj9i2jtzq589y,multipleLine,pending,"Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
","1. Look only at the EU 5-country median values and identify those that fall between 51 and 61 on the y-axis. 
2. The EU 5-country median is 60 in 2012 and 58 in 2013, both within 5161. 
3. Among these, the most recent year is 2013, with 2012 also meeting the condition.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Group"",""operator"":""=="",""value"":""EU 5-country median""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">="",""value"":51,""field"":""Percentage""},{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""operator"":""<="",""value"":61,""field"":""Percentage""}],""ops3"":[{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":3},""field"":""Year"",""which"":""max""}]}",,2026-05-22T14:49:49Z
0gf8ugj84bs1ko2k,stackedBar,pending,"What is the average value for each service area in the year when the data center's revenue was highest?
","1. Identify the year where Data Centers revenue is highest by scanning its values across years; the maximum is 1848 in 2022. 
2. In that same year (2022), take the values for each service area from the table. 
3. Since there is only one value per service area in that year, the _verage value for each service area in that year equals its listed revenue.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Segment"",""operator"":""=="",""value"":""Data Centers""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Revenue"",""which"":""max""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""field"":""Year"",""operator"":""=="",""value"":""2022""}]}",,2026-05-22T14:50:12Z
14jt6jor7iknkjkl,multipleLine,pending,What is the sum of the Confidence in U.S. present values for the period in which the favorite view of U.S. is the lowest?,"1. Identify the year where _avorable view of U.S. is at its lowest value.
2. The lowest favorable view is 71, which occurs in 2009. 
3. Then take the _onfidence in U.S. president value for that same year (2009), which is 56. 
4. Since the period with the lowest favorable view is just that year, the sum is 56.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Metric"",""operator"":""=="",""value"":""Favorable view of U.S.""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""which"":""min""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Metric"",""operator"":""=="",""value"":""Confidence in U.S. president""},{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3"",""n2""],""sentenceIndex"":2},""target"":""2009"",""field"":""Year""}]}",,2026-05-22T14:50:27Z
16aphfabldrpgcmd,multipleLine,pending,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,"1. Scan the Boys values and count years where the average weight is greater than 3670: 2010 (3672), 2011 (3677), and 2014 (3675)  3 years. 
2. Then scan the Girls values and count years where the average weight is greater than 3550: 2010 (3580), 2011 (3553), 2014 (3554), 2017 (3555), and 2020 (3555)  5 years. 
3. Add the two counts: 3 + 5 = 8.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Gender"",""operator"":""=="",""value"":""Boys""},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""operator"":"">"",""value"":3670,""field"":""Average weight in grams""},{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":1}}],""ops2"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Gender"",""operator"":""=="",""value"":""Girls""},{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""operator"":"">"",""value"":3550,""field"":""Average weight in grams""},{""op"":""count"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":2}}],""ops3"":[{""op"":""add"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n6""}]}",,2026-05-22T14:50:18Z
0dglnk2wbf5ll15t,stackedBar,pending,What is the difference between the average of values corresponding to Por and the average of values corresponding to Good?,"1. Read the _oor shares for 20142017 (4, 1, 2, 6) and compute their average (3.25). 
2. Then read the _ood shares for 20142017 (58, 62, 42, 44) and compute their average (51.75). 
3. Subtract the Poor average from the Good average to get the difference (51.75  3.25 = 48.75).","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Response"",""operator"":""=="",""value"":""Poor""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Share of respondents""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Response"",""operator"":""=="",""value"":""Good""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Share of respondents""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n4"",""targetB"":""ref:n2"",""signed"":true}]}",,2026-05-22T14:50:38Z
10gtgmmgh599jnr7,simpleLine,pending,"What is the difference between the second largest and smallest values between 2000 and 2008?
","1. Look at the values from 2000 through 2008. 
2. The smallest value in that range is 0.086 (in 2001). 
3. The second largest value is 0.109 (tied in 2003 and 2004, with the largest being 0.109 as well). 
4. Subtract the smallest value (0.086) from the second largest value (0.109) to get 0.023.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008""]}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}],""ops3"":[{""op"":""sort"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":3},""order"":""desc""},{""op"":""nth"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":3},""n"":2,""from"":""left""}],""ops4"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":4},""targetA"":""ref:n4"",""targetB"":""ref:n2"",""signed"":true}]}",,2026-05-22T14:50:35Z
0ix8hz9qvakto18g,simpleLine,pending,What is the sum of the year when the Ease of doing business score is the second largest and the year when the Ease of doing business score is the second smallest?,"1. List the Ease of doing business scores by year and rank them. 
2. The largest score is 81.9 (2013), so the second largest is 80.6 (2019). 
3. The smallest score is 78.03 (2018), so the second smallest is 78.11 (2016). 
4. Add the two years: 2019 + 2016 = 4032.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Ease of doing business score"",""order"":""desc""},{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""n"":2,""from"":""left""}],""ops2"":[{""op"":""sort"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Ease of doing business score"",""order"":""asc""},{""op"":""nth"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""n"":2,""from"":""left""}],""ops3"":[{""op"":""add"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4""}]}",,2026-05-22T14:50:53Z
